순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
6,김민수,KT,2.16,8,0,1,1,2,0.000,8 1/3,7,0,1,1,6,3,2,0.96,0,0,0,0,34,118,0.226,3,0,1,0,0,0,0
7,전용주,KT,3.00,7,1,1,0,0,0.500,6,5,0,5,0,4,2,2,1.67,0,0,0,0,28,97,0.227,0,0,1,0,1,1,0
8,사우어,KT,4.43,4,1,1,0,0,0.500,22 1/3,22,1,11,3,16,11,11,1.48,0,0,1,0,100,366,0.262,5,2,0,2,0,3,0
9,주권,KT,5.06,5,0,0,0,0,-,5 1/3,4,0,3,0,3,3,3,1.31,0,0,0,0,21,74,0.222,0,0,0,0,0,1,0
10,소형준,KT,6.19,3,1,0,0,0,1.000,16,20,2,4,1,15,11,11,1.50,0,0,1,0,71,275,0.313,7,0,1,1,1,0,0
11,손동현,KT,6.75,7,0,0,0,0,-,6 2/3,8,2,4,1,5,5,5,1.80,0,0,0,0,33,125,0.286,0,0,0,0,0,0,0
12,고영표,KT,7.07,3,1,1,0,0,0.500,14,25,2,4,2,18,12,11,2.07,0,0,0,0,73,262,0.379,2,0,1,0,0,0,0
13,스기모토,KT,7.27,10,0,0,0,2,-,8 2/3,13,1,3,1,10,9,7,1.85,0,0,0,0,43,159,0.333,2,0,0,0,0,1,0
14,우규민,KT,12.27,6,0,0,0,1,-,3 2/3,11,1,0,0,1,5,5,3.00,0,0,0,0,21,80,0.550,3,0,0,1,0,0,0
15,박지훈,KT,81.00,1,0,0,0,0,-,2/3,2,1,2,2,2,6,6,6.00,0,0,0,0,8,37,0.500,0,0,0,0,0,1,0
1,박시원,LG,0.00,2,0,0,0,0,-,2,0,0,1,1,0,0,0,0.50,0,0,0,0,8,33,0.000,0,0,0,0,0,1,0
1,성동현,LG,0.00,2,0,0,0,0,-,1 1/3,0,0,1,0,1,0,0,0.75,0,0,0,0,5,25,0.000,0,0,0,0,0,0,0
1,이우찬,LG,0.00,3,0,0,0,0,-,2,3,0,1,0,2,0,0,2.00,0,0,0,0,10,36,0.333,1,0,0,0,0,0,0
4,송승기,LG,0.59,3,1,0,0,0,1.000,15 1/3,11,1,4,0,13,1,1,0.98,0,0,1,0,60,249,0.196,1,0,0,0,0,1,0
5,유영찬,LG,0.93,10,0,1,9,0,0.000,9 2/3,4,0,6,0,8,1,1,1.03,0,0,0,0,38,144,0.125,0,0,0,0,0,0,0
6,웰스,LG,2.12,3,1,1,0,0,0.500,17,14,1,4,0,9,4,4,1.06,0,0,2,0,69,257,0.215,4,0,0,0,0,0,0
7,우강훈,LG,2.25,8,0,0,0,5,-,8,6,1,2,0,13,2,2,1.00,0,0,0,1,31,123,0.207,1,0,0,0,0,0,0
8,배재준,LG,2.84,6,1,0,0,0,1.000,6 1/3,6,0,6,0,7,2,2,1.89,0,0,0,0,29,118,0.261,0,0,0,0,0,1,0
9,김영우,LG,3.18,6,0,0,0,0,-,5 2/3,5,0,3,0,7,2,2,1.41,0,0,0,0,25,86,0.250,0,1,1,1,1,0,0
10,장현식,LG,3.38,8,2,0,0,5,1.000,8,7,2,2,0,6,3,3,1.13,0,0,0,0,32,125,0.233,0,0,0,0,0,0,0
11,이정용,LG,4.50,5,0,0,0,0,-,6,8,0,2,2,3,3,3,1.67,0,0,0,0,31,110,0.308,3,0,0,1,0,0,0
12,김진성,LG,4.70,8,3,0,0,2,1.000,7 2/3,11,2,1,0,6,4,4,1.57,0,0,0,0,33,132,0.355,2,0,0,1,0,0,0
13,임찬규,LG,4.80,3,0,0,0,0,-,15,25,0,5,0,6,9,8,2.00,0,0,0,0,72,271,0.379,6,0,0,1,0,1,0
13,톨허스트,LG,4.80,3,2,1,0,0,0.667,15,15,2,5,2,16,8,8,1.33,0,0,2,0,67,263,0.250,4,0,0,0,0,0,0
15,치리노스,LG,6.75,4,1,2,0,0,0.333,16,27,0,6,2,15,12,12,2.06,0,0,0,0,82,314,0.375,6,0,2,0,0,1,0
16,함덕주,LG,7.20,6,0,0,0,1,-,5,6,1,2,0,0,4,4,1.60,0,0,0,0,22,95,0.300,0,0,0,0,0,0,0
17,백승현,LG,9.00,3,0,0,0,0,-,3,3,1,1,0,6,3,3,1.33,0,0,0,0,13,58,0.250,0,0,0,0,0,2,0
1,원종해,NC,0.00,6,0,0,0,1,-,5,1,0,0,1,4,0,0,0.20,0,0,0,0,18,79,0.059,0,0,0,0,0,1,0
2,이준혁,NC,1.04,8,0,0,0,1,-,8 2/3,7,0,6,1,6,2,1,1.50,0,0,0,0,39,156,0.226,1,0,1,0,1,0,0
3,배재환,NC,1.23,10,0,0,0,4,-,7 1/3,6,0,4,0,6,1,1,1.36,0,0,0,0,32,113,0.214,1,0,0,0,0,1,0
4,구창모,NC,2.82,4,2,0,0,0,1.000,22 1/3,15,2,8,0,15,7,7,1.03,0,0,1,0,90,325,0.188,4,1,2,0,0,3,0
5,임지민,NC,3.38,9,0,0,1,2,-,8,4,2,2,0,9,3,3,0.75,0,0,0,0,28,111,0.154,0,0,0,0,0,0,0
6,버하겐,NC,3.46,3,1,0,0,0,1.000,13,12,0,4,0,11,5,5,1.23,0,0,0,0,55,220,0.240,1,1,1,0,0,1,0
7,테일러,NC,4.20,3,1,1,0,0,0.500,15,12,0,12,1,13,7,7,1.60,0,0,0,0,66,288,0.226,2,0,0,0,0,2,0
